Case,Pmax(uN),hmax(um),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,9715.4,0.223701,164,1.425,105,0.25,235.8708049,207025.4958,0.534743412
1,10655,0.233701,164,1.425,105,0.25,236.069556,236069.556,0.536220233
2,11653,0.243701,164,1.425,105,0.25,237.3859623,234203.6554,0.537890843
3,12707,0.253701,164,1.425,105,0.25,238.8559763,247738.6935,0.53952912
4,13823,0.263701,164,1.425,105,0.25,240.5435798,263106.7961,0.54107567
5,15000,0.273701,164,1.425,105,0.25,242.3401759,277283.3724,0.542585436
6,16243,0.283701,164,1.425,105,0.25,244.3805999,293650.7937,0.54404673
7,17546,0.293701,164,1.425,105,0.25,246.3278531,308552.6316,0.545501741
8,18211,0.298701,164,1.425,105,0.25,247.2920331,316304.3478,0.546268484
9,16889,0.288701,164,1.425,105,0.25,245.3627843,300666.6667,0.544765645
10,15615,0.278701,164,1.425,105,0.25,243.3725592,287500,0.543313015
11,14406,0.268701,164,1.425,105,0.25,241.4366217,270476.1905,0.541841641
12,13257,0.258701,164,1.425,105,0.25,239.6666205,255308.642,0.540310983
13,12172,0.248701,164,1.425,105,0.25,238.0797203,240409.2072,0.538707491
14,11146,0.238701,164,1.425,105,0.25,236.7007157,226595.7447,0.537064361
15,10179,0.228701,164,1.425,105,0.25,235.5028329,213351.8006,0.535377542
16,9265.9,0.218701,164,1.425,105,0.25,234.4760781,200956.5217,0.533629695
17,8407.8,0.208701,164,1.425,105,0.25,233.640276,189027.3556,0.531797016
18,7602.2,0.198701,164,1.425,105,0.25,233.0277356,177444.0895,0.529866107
19,6846.7,0.188701,164,1.425,105,0.25,232.6754098,166363.6364,0.527786628
20,6138.2,0.178701,164,1.425,105,0.25,232.4811566,153028.169,0.525537348
12,5804.4,0.173701,164,1.425,105,0.25,232.6540359,149272.7273,0.524343813
22,6486.9,0.183701,164,1.425,105,0.25,232.5413794,160655.1724,0.52668453
23,7218.6,0.193701,164,1.425,105,0.25,232.8532204,171704.918,0.52883824
24,7997.3,0.203701,164,1.425,105,0.25,233.2899097,182647.9751,0.530851588