Case,hmax(um),Pmax(uN),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,0.22372,14378,164,1.425,105,0.25,287.2690631,202205.0938,0.596987389
1,0.22372,13080,136,1.425,105,0.25,261.3353279,174924.0393,0.549509804
2,0.22372,13766,150,1.425,105,0.25,275.0414468,189005.8088,0.574555196
3,0.22372,14732,172,1.425,105,0.25,294.3418999,209798.9276,0.608702363
4,0.22372,14150,164,1.182,105,0.25,282.7136766,200900.3575,0.601004963
5,0.22372,12864,136,1.182,105,0.25,257.0196987,173786.8633,0.554257163
6,0.22372,13535,150,1.182,105,0.25,270.4261211,1.88E+05,0.578926965
7,0.22372,14478,172,1.182,105,0.25,289.2670396,208114.3878,0.612601448
8,0.22372,14273,164,1.303,105,0.25,285.1711877,201706.8811,0.599036068
9,0.22372,12972,136,1.303,105,0.25,259.1775133,174356.5684,0.551957791
10,0.22372,13651,150,1.303,105,0.25,272.7437738,188402.5916,0.576809076
11,0.22372,14605,172,1.303,105,0.25,291.8044698,208952.1895,0.610718188
12,0.22372,14465,164,1.495,105,0.25,289.0073027,202940.1251,0.595683141
13,0.22372,13141,136,1.495,105,0.25,262.5540936,175239.0527,0.548051469
14,0.22372,13832,150,1.495,105,0.25,276.3601113,189363.2708,0.573197689
15,0.22372,14804,172,1.495,105,0.25,295.780443,210252.4576,0.607505633
16,0.22372,13573,164,1.425,88,0.25,271.1853522,200500.4468,0.636541292
17,0.22371,12406,136,1.425,88,0.25,247.8911266,174096.0894,0.590296087
18,0.22372,13017,150,1.425,88,0.25,260.0766027,187651.9214,0.614802988
19,0.22372,13870,172,1.425,88,0.25,277.1193424,207607.2386,0.647891353
20,0.22372,13301,164,1.182,88,0.25,265.750856,198684.0929,0.641009603
12,0.22371,12164,136,1.182,88,0.25,243.0555911,172641.3408,0.595574495
22,0.22372,12759,150,1.182,88,0.25,254.9218233,185933.8695,0.619660898
23,0.22372,13589,172,1.182,88,0.25,271.5050284,205703.7534,0.652184466
24,0.22372,13437,164,1.303,88,0.25,268.4681041,199588.9187,0.638846035
25,0.22371,12286,136,1.303,88,0.25,2.45E+02,1.73E+05,5.93E-01
26,0.22372,12889,150,1.303,88,0.25,257.5191928,186811.8856,0.617310185
27,0.22372,13730,172,1.303,88,0.25,274.3221753,206664.4325,0.650103963
28,0.22372,14678,164,1.495,88,0.25,293.2629926,203243.9678,0.584986832
29,0.22372,13315,136,1.495,88,0.25,266.0305727,175444.5934,0.537137717
30,0.22372,14026,150,1.495,88,0.25,280.2361858,189624.6649,0.562378846
31,0.22372,15028,172,1.495,88,0.25,300.2559104,210793.1189,0.596888376
32,0.22372,14611,164,1.425,110,0.25,291.9243484,202897.6765,0.586210617
33,0.22372,13255,136,1.425,110,0.25,264.8317868,175125.1117,0.538563411
34,0.22372,13962,150,1.425,110,0.25,278.9574808,189276.1394,0.563695223
35,0.22372,14958,172,1.425,110,0.25,298.8573269,210330.6524,0.598052215
36,0.22372,14372,164,1.182,110,0.25,287.1491845,201436.5505,0.590162126
37,0.22372,13046,136,1.182,110,0.25,260.6560159,174041.555,0.54316855
38,0.22372,13738,150,1.182,110,0.25,274.4820134,188098.7489,0.567944117
39,0.22372,14712,172,1.182,110,0.25,293.9423046,208719.8391,0.601852296
40,0.22372,14492,164,1.303,110,0.25,289.5467563,202229.6693,0.588249552
41,0.22372,13151,136,1.303,110,0.25,262.7538913,174591.1528,0.540942994
42,0.22372,13850,150,1.303,110,0.25,276.7197471,188684.0929,0.565894019
43,0.22372,14835,172,1.303,110,0.25,296.3998158,209521.8945,0.600011862
44,0.22372,14678,164,1.495,110,0.25,293.2629926,203243.9678,0.584986832
45,0.22372,13315,136,1.495,110,0.25,266.0305727,175444.5934,0.537137717
46,0.22372,14026,150,1.495,110,0.25,280.2361858,189624.6649,0.562378846
47,0.22372,15028,172,1.495,110,0.25,300.2559104,210793.1189,0.596888376
48,0.22372,16243,203,1.495,110,0.25,324.5313251,237696.6041,0.63717141
49,0.22372,16536,203,1.764,110,0.25,330.3853962,239649.2404,0.632995775
50,0.22372,17117,203,1.425,130,0.25,341.9936398,239611.2601,0.600154857
51,0.22372,17452,203,1.764,130,0.25,348.6868611,241626.4522,0.59542413
52,0.2237,2090.4,14,1.425,9,0.25,41.77316953,22250.7823,0.290296969
53,0.2237,1341.1,14,0.122,9,0.25,26.79965445,20224.85472,0.601877336
54,0.2237,2023.2,14,1.425,9,0.2,40.43028922,21654.00089,0.298535401
55,0.2237,1304.5,14,0.122,9,0.2,26.06826428,19549.62003,0.606687879
56,0.2237,2171.7,14,1.425,9,0.3,43.3978149,23035.31515,0.284154382
57,0.2237,1381.8,14,0.122,9,0.3,27.6129763,21039.3384,0.598378353