Nodes,1031,,,,Nodes,3561,,,,Nodes,13222,,,,Nodes,50683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elements,307,,,,Elements,1118,,,,Elements,4276,,,,Elements,16635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average min length,0.049582,,,,Average min length,2.71E-02,,,,Average min length,0.0013946,,,,Average min length,0.00071689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average max length,0.059809,,,,Average max length,0.0306,,,,Average max length,0.0015348,,,,Average max length,0.00076779,Final W,4.10E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Material 0,,,,,Material 1,,,,,Material 2,,,,,Material 3,,,,,Material 4,,,,,Material 5,,,,,Material 6,,,,,Material 7,,,,,Material 8,,,,,Material 9,,,,,Material 10,,,,,Material 11,,,,,Material 12,,,,,Material 13,,,,,Material 14,,,,,Material 15,,,,,Material 16,,,,,Material 17,,,,,Material 18,,,,,Material 19,,,,,Material 20,,,,,Material 21,,,,,Material 22,,,,,Material 23,,,,,Material 24,,,,,Material 25,,,,,Material 26,,,,,Material 27,,,,,Material 28,,,,,Material 29,,,,,Material 30,,,,,Material 31,,,,,Material 32,,,,,Material 33,,,,,Material 34,,,,,Material 35,,,,,Material 36,,,,,Material 37,,,,,Material 38,,,,,Material 39,,,,,Material 40,,,,,Material 41,,,,,Material 42,,,,,Material 43,,,,,Material 44,,,,,Material 45,,,,,Material 46,,,,,Material 47,,,,,Material 48,,,,,Material 49,,,,,Material 50,,,,,Material 51,,,,,Material 52,,,,,Material 53,,,,,Material 54,,,,,Material 55,,,,,Material 56,,,,,Material 57,,,
,,,,,,,,,,,,,,,0.598585193,2.94E+04,122810,,,0.551434459,25467.5,112980,,,0.576338969,27475.5,118140,,,0.610287957,30444.5,125290,,,0.604303691,29348,121270,,,0.557563714,25440,111520,,,0.58224785,27441,116630,,,0.615892426,30401.5,123740,,,0.60140703,29372.5,122040,,,0.554454918,25453.5,112250,,,0.579252265,27459.5,117380,,,0.613041064,30422,124510,,,0.597018187,29398.5,123260,,,0.549768519,25477.5,113390,,,0.574711485,27483.5,118570,,,0.608739159,30454.5,125740,,,0.637298542,29401.5,1.15E+05,,,0.591583885,2.55E+04,106110,,,0.615802443,27498,110600,,,6.48E-01,3.05E+04,1.17E+05,,,6.43E-01,29368.5,112990,,,0.597823948,25472.5,104550,,,0.621788811,27470,108990,,,6.54E-01,30412.5,115100,,,6.40E-01,2.94E+04,113780,,,0.59463147,25487,105330,,,6.19E-01,2.75E+04,109800,,,6.51E-01,30445.5,1.16E+05,,,5.87E-01,29390.5,1.25E+05,,,0.539000078,25471.5,115160,,,0.564091702,27470.5,120520,,,0.598375515,3.04E+04,127960,,,0.588134613,29380,124940,,,0.54063872,25468,114760,,,0.565697267,27462,120090,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,
6.85E+01,1.08E-01,1.24E+03,,,4.10E+01,1.00E-01,1.23E+03,,,4.10E+01,1.00E-01,1.23E+03,,,40.995,0.1,1228.1,,,3.79E+01,1.00E-01,1.13E+03,,,3.95E+01,1.00E-01,1.18E+03,,,4.18E+01,1.00E-01,1.25E+03,,,4.03E+01,1.00E-01,1.21E+03,,,3.72E+01,1.00E-01,1.12E+03,,,3.88E+01,1.00E-01,1.17E+03,,,4.11E+01,1.00E-01,1.24E+03,,,4.07E+01,1.00E-01,1.22E+03,,,3.76E+01,1.00E-01,1.12E+03,,,3.92E+01,1.00E-01,1.17E+03,,,4.14E+01,1.00E-01,1.25E+03,,,4.12E+01,1.00E-01,1.23E+03,,,3.80E+01,1.00E-01,1.13E+03,,,3.97E+01,1.00E-01,1.19E+03,,,4.20E+01,1.00E-01,1.26E+03,,,3.91E+01,1.00E-01,1.15E+03,,,3.62E+01,1.00E-01,1.06E+03,,,3.77E+01,1.00E-01,1.11E+03,,,3.98E+01,1.00E-01,1.17E+03,,,3.83E+01,1.00E-01,1.13E+03,,,3.56E+01,1.00E-01,1.05E+03,,,3.70E+01,1.00E-01,1.09E+03,,,3.90E+01,1.00E-01,1.15E+03,,,3.87E+01,1.00E-01,1.14E+03,,,3.59E+01,1.00E-01,1.05E+03,,,3.74E+01,1.00E-01,1.10E+03,,,3.94E+01,1.00E-01,1.16E+03,,,4.17E+01,1.00E-01,1.25E+03,,,3.84E+01,1.00E-01,1.15E+03,,,4.01E+01,1.00E-01,1.21E+03,,,4.25E+01,1.00E-01,1.28E+03,,,4.15E+01,1.00E-01,1.25E+03,,,3.83E+01,1.00E-01,1.15E+03,,,4.00E+01,1.00E-01,1.20E+03,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,
W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s)
2.10E-03,2.00E-03,4.44E+00,0.2,,2.12E-03,2.00E-03,4.1718,0.2,,2.26E-03,2.00E-03,4.3873,0.2,,2.40E-03,2.00E-03,4.4595,0.2,,2.12E-03,2.00E-03,3.9496,0.2,,2.27E-03,2.00E-03,4.2134,0.2,,2.48E-03,2.00E-03,4.5929,0.2,,2.36E-03,2.00E-03,4.3223,0.2,,2.08E-03,2.00E-03,3.8393,0.2,,2.22E-03,2.00E-03,4.0895,0.2,,2.43E-03,2.00E-03,4.448,0.2,,2.38E-03,2.00E-03,4.3932,0.2,,2.10E-03,2.00E-03,3.8964,0.2,,2.25E-03,2.00E-03,4.1534,0.2,,2.46E-03,2.00E-03,4.5232,0.2,,2.42E-03,2.00E-03,4.4956,0.2,,2.13E-03,2.00E-03,3.9781,0.2,,2.28E-03,2.00E-03,4.2459,0.2,,2.49E-03,2.00E-03,4.631,0.2,,2.39E-03,2.00E-03,4.3721,0.2,,2.11E-03,2.00E-03,3.8871,,,2.25E-03,2.00E-03,4.1382,0.2,,2.46E-03,2.00E-03,4.4985,0.2,,2.33E-03,2.00E-03,4.2207,0.2,,2.07E-03,2.00E-03,3.765,0.2,,2.20E-03,2.00E-03,4.0019,0.2,,2.40E-03,2.00E-03,4.3391,0.2,,2.36E-03,2.00E-03,4.2986,0.2,,2.09E-03,2.00E-03,3.8281,0.2,,2.23E-03,2.00E-03,4.07E+00,,,2.43E-03,2.00E-03,4.421,0.2,,2.42E-03,2.00E-03,4.5174,0.2,,2.13E-03,2.00E-03,3.9934,0.2,,2.28E-03,2.00E-03,4.2645,0.2,,2.50E-03,2.00E-03,4.6546,0.2,,2.41E-03,2.00E-03,4.4822,0.2,,2.12E-03,2.00E-03,3.9657,0.2,,2.27E-03,2.00E-03,4.2328,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.44E-02,4.00E-03,1.26E+01,0.4,,1.44E-02,4.00E-03,12.56,0.4,,1.47E-02,4.00E-03,12.518,0.4,,1.49E-02,4.00E-03,12.612,0.4,,1.34E-02,4.00E-03,11.266,0.4,,1.42E-02,4.00E-03,11.965,0.4,,1.53E-02,4.00E-03,12.961,0.4,,1.46E-02,4.00E-03,12.235,0.4,,1.31E-02,4.00E-03,10.958,0.4,,1.38E-02,4.00E-03,11.621,0.4,,1.49E-02,4.00E-03,12.565,0.4,,1.48E-02,4.00E-03,12.429,0.4,,1.32E-02,4.00E-03,11.116,0.4,,1.40E-02,4.00E-03,11.798,0.4,,1.51E-02,4.00E-03,12.768,0.4,,1.50E-02,4.00E-03,12.712,0.4,,1.35E-02,4.00E-03,11.348,0.4,,1.43E-02,4.00E-03,12.056,0.4,,1.54E-02,4.00E-03,13.066,0.4,,1.47E-02,4.00E-03,12.266,0.4,,1.32E-02,4.00E-03,11.003,,,1.40E-02,4.00E-03,11.66,0.4,,1.51E-02,4.00E-03,12.591,0.4,,1.43E-02,4.00E-03,11.854,0.4,,1.28E-02,4.00E-03,10.664,0.4,,1.36E-02,4.00E-03,11.284,0.4,,1.46E-02,4.00E-03,12.161,0.4,,1.45E-02,4.00E-03,12.066,0.4,,1.30E-02,4.00E-03,10.839,0.4,,1.38E-02,4.00E-03,11.477,,,1.49E-02,4.00E-03,12.382,0.4,,1.51E-02,4.00E-03,12.799,0.4,,1.35E-02,4.00E-03,11.413,0.4,,1.43E-02,4.00E-03,12.132,0.4,,1.55E-02,4.00E-03,13.159,0.4,,1.50E-02,4.00E-03,12.702,0.4,,1.34E-02,4.00E-03,11.334,0.4,,1.42E-02,4.00E-03,12.044,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.29E-02,6.00E-03,2.34E+01,0.6,,4.16E-02,6.00E-03,22.628,0.6,,4.19E-02,6.00E-03,22.932,0.6,,4.16E-02,6.00E-03,22.861,0.6,,3.74E-02,6.00E-03,20.494,0.6,,3.96E-02,6.00E-03,21.725,0.6,,4.26E-02,6.00E-03,23.472,0.6,,4.05E-02,6.00E-03,22.206,0.6,,3.66E-02,6.00E-03,19.954,0.6,,3.86E-02,6.00E-03,21.126,0.6,,4.15E-02,6.00E-03,22.787,0.6,,4.11E-02,6.00E-03,22.543,0.6,,3.70E-02,6.00E-03,20.232,0.6,,3.91E-02,6.00E-03,21.434,0.6,,4.21E-02,6.00E-03,23.139,0.6,,4.18E-02,6.00E-03,23.035,0.6,,3.76E-02,6.00E-03,20.637,0.6,,3.98E-02,6.00E-03,21.884,0.6,,4.29E-02,6.00E-03,23.655,0.6,,4.07E-02,6.00E-03,22.135,0.6,,3.67E-02,6.00E-03,19.931,,,3.88E-02,6.00E-03,21.08,0.6,,4.17E-02,6.00E-03,22.702,0.6,,3.95E-02,6.00E-03,21.424,0.6,,3.58E-02,6.00E-03,19.34,0.6,,3.77E-02,6.00E-03,20.426,0.6,,4.05E-02,6.00E-03,21.958,0.6,,4.01E-02,6.00E-03,21.789,0.6,,3.63E-02,6.00E-03,19.644,0.6,,3.83E-02,6.00E-03,20.762,,,4.11E-02,6.00E-03,22.34,0.6,,4.21E-02,6.00E-03,23.22,0.6,,3.78E-02,6.00E-03,20.778,0.6,,4.00E-02,6.00E-03,22.047,0.6,,4.32E-02,6.00E-03,23.852,0.6,,4.18E-02,6.00E-03,23.05,0.6,,3.76E-02,6.00E-03,20.639,0.6,,3.98E-02,6.00E-03,21.892,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.81E-02,8.00E-03,3.41E+01,0.8,,8.68E-02,8.00E-03,34.927,0.8,,8.70E-02,8.00E-03,35.103,0.8,,8.60E-02,8.00E-03,34.875,0.8,,7.77E-02,8.00E-03,31.359,0.8,,8.20E-02,8.00E-03,33.189,0.8,,8.81E-02,8.00E-03,35.777,0.8,,8.39E-02,8.00E-03,33.903,0.8,,7.59E-02,8.00E-03,30.553,0.8,,8.01E-02,8.00E-03,32.299,0.8,,8.59E-02,8.00E-03,34.763,0.8,,8.50E-02,8.00E-03,34.402,0.8,,7.68E-02,8.00E-03,30.968,0.8,,8.11E-02,8.00E-03,32.756,0.8,,8.70E-02,8.00E-03,35.283,0.8,,8.66E-02,8.00E-03,35.133,0.8,,7.82E-02,8.00E-03,31.573,0.8,,8.25E-02,8.00E-03,33.426,0.8,,8.87E-02,8.00E-03,36.05,0.8,,8.39E-02,8.00E-03,33.637,0.8,,7.60E-02,8.00E-03,30.396,,,8.01E-02,8.00E-03,32.089,0.8,,8.59E-02,8.00E-03,34.467,0.8,,8.15E-02,8.00E-03,32.587,0.8,,7.40E-02,8.00E-03,29.515,0.8,,7.79E-02,8.00E-03,31.119,0.8,,8.34E-02,8.00E-03,33.372,0.8,,8.27E-02,8.00E-03,33.125,0.8,,7.51E-02,8.00E-03,29.968,0.8,,7.91E-02,8.00E-03,31.616,,,8.47E-02,8.00E-03,33.933,0.8,,8.71E-02,8.00E-03,35.445,0.8,,7.86E-02,8.00E-03,31.816,0.8,,8.30E-02,8.00E-03,33.704,0.8,,8.93E-02,8.00E-03,36.382,0.8,,8.65E-02,8.00E-03,35.192,0.8,,7.81E-02,8.00E-03,31.607,0.8,,8.25E-02,8.00E-03,33.473,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15494,1.00E-02,4.95E+01,1,,1.53E-01,1.00E-02,48.811,1,,1.53E-01,1.00E-02,48.517,1,,0.1503,1.00E-02,48.28,1,,0.13619,1.00E-02,43.529,1,,0.14354,1.00E-02,46.004,1,,0.15391,1.00E-02,49.502,1,,0.14661,1.00E-02,46.971,1,,0.13308,1.00E-02,42.433,1,,0.14014,1.00E-02,44.8,1,,0.15007,1.00E-02,48.134,1,,0.14851,1.00E-02,47.642,1,,1.35E-01,1.00E-02,42.996,1,,0.14189,1.00E-02,45.418,1,,0.15205,1.00E-02,48.835,1,,0.15127,1.00E-02,48.631,1,,0.13702,1.00E-02,43.821,1,,0.14443,1.00E-02,46.326,1,,0.15493,1.00E-02,49.868,1,,0.14624,1.00E-02,46.455,1,,0.13287,1.00E-02,42.074,,,0.13986,1.00E-02,44.36,1,,0.14965,1.00E-02,47.576,1,,0.14218,1.00E-02,45.036,1,,0.12944,1.00E-02,40.881,1,,0.13611,1.00E-02,43.051,1,,0.14542,1.00E-02,46.098,1,,0.14427,1.00E-02,45.763,1,,0.13121,1.00E-02,41.494,1,,0.13804,1.00E-02,43.722,,,0.1476,1.00E-02,46.855,1,,0.1523,1.00E-02,49.099,1,,0.13786,1.00E-02,44.189,1,,0.14536,1.00E-02,46.744,1,,0.15601,1.00E-02,50.363,1,,0.15135,1.00E-02,48.757,1,,0.13705,1.00E-02,43.903,1,,0.14449,1.00E-02,46.43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24496,1.20E-02,6.38E+01,1.2,,2.42E-01,1.20E-02,63.46,1.2,,2.41E-01,1.20E-02,63.378,1.2,,0.23632,1.20E-02,62.859,1.2,,0.21459,1.20E-02,56.738,1.2,,0.22591,1.20E-02,59.918,1.2,,0.24191,1.20E-02,64.438,1.2,,0.23059,1.20E-02,61.177,1.2,,0.20974,1.20E-02,55.344,1.2,,0.22057,1.20E-02,58.366,1.2,,0.236,1.20E-02,62.688,1.2,,0.23352,1.20E-02,62.038,1.2,,2.12E-01,1.20E-02,56.06,1.2,,0.22331,1.20E-02,59.161,1.2,,0.23903,1.20E-02,63.585,1.2,,0.23784,1.20E-02,63.308,1.2,,0.21588,1.20E-02,57.111,1.2,,0.22732,1.20E-02,60.331,1.2,,0.24348,1.20E-02,64.906,1.2,,0.2297,1.20E-02,60.439,1.2,,0.20897,1.20E-02,54.771,,,0.21977,1.20E-02,57.727,1.2,,0.23504,1.20E-02,61.892,1.2,,0.22345,1.20E-02,58.628,1.2,,0.20361,1.20E-02,53.238,1.2,,0.21394,1.20E-02,56.051,1.2,,0.22852,1.20E-02,60.002,1.2,,0.22668,1.20E-02,59.558,1.2,,0.20637,1.20E-02,54.024,1.2,,0.21693,1.20E-02,56.91,,,0.23188,1.20E-02,60.971,1.2,,0.23953,1.20E-02,63.929,1.2,,0.21728,1.20E-02,57.63,1.2,,0.2289,1.20E-02,60.893,1.2,,0.24528,1.20E-02,65.565,1.2,,0.23806,1.20E-02,63.49,1.2,,0.21604,1.20E-02,57.267,1.2,,0.22753,1.20E-02,60.491,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
